fast,slow,confirm_n,sl_value,tp_value,num_trades,win_rate_pct,total_return_pct,profit_factor,expectancy_per_trade,sharpe,sortino,max_drawdown_pct,long_trades,short_trades,final_cash
100,150,3,1.0,1.5,147.0,41.49659863945578,-19.27128152419054,0.8032146956270197,-13.109715322578557,-2.213942229956807,-2.110270574626833,27.209350827552843,147.0,0.0,8072.8718475809455
20,150,5,1.0,1.5,185.0,41.62162162162162,-22.654509419610637,0.8144721780978972,-12.245680767357225,-2.3275947964938815,-2.375697005426065,35.07316762708244,185.0,0.0,7734.549058038936
50,150,5,0.6,3.0,186.0,27.419354838709676,-20.386064765462176,0.7990551593384356,-10.960249873904466,-2.3485700672059684,-2.3110912411428344,29.376584376038974,186.0,0.0,7961.393523453783
50,200,5,0.6,3.0,189.0,27.513227513227513,-20.34699520235629,0.8033272804848128,-10.76560592717264,-2.355934510189845,-2.3105462941813086,29.963725540609904,189.0,0.0,7965.300479764372
50,150,3,1.0,1.5,156.0,41.02564102564102,-21.94494617556233,0.794651779611548,-14.067273189463025,-2.3692394672698005,-2.3947096156709304,33.58196309232041,156.0,0.0,7805.505382443767
100,200,5,1.0,1.5,144.0,40.97222222222222,-20.42711173227686,0.7906553877682898,-14.185494258525615,-2.3695798560857977,-2.2659690074102397,30.701106505041544,144.0,0.0,7957.288826772314
50,200,3,1.0,1.5,154.0,40.909090909090914,-22.0458170323231,0.7899583105027066,-14.315465605404482,-2.396586661260377,-2.400815111243685,33.667795385797724,154.0,0.0,7795.41829676769
20,150,3,1.0,1.5,188.0,41.48936170212766,-23.46511584505698,0.8106975336028076,-12.481444598434583,-2.4122370655521626,-2.461626828360782,35.75362239064314,188.0,0.0,7653.488415494302
50,200,1,1.0,2.0,145.0,33.793103448275865,-23.349201190893098,0.7870407033044332,-16.102897373029712,-2.4527802153976284,-2.4957644960503766,36.59313250564209,145.0,0.0,7665.07988091069
100,200,5,0.6,3.0,170.0,27.058823529411764,-19.981607621503716,0.7852742496240179,-11.753886836178662,-2.513485850054624,-2.3246450686072806,31.222984077707277,170.0,0.0,8001.839237849628
100,200,1,0.6,3.0,213.0,27.699530516431924,-21.99676462931739,0.8123348282960708,-10.32711954428045,-2.549681106703734,-2.480170988835509,33.81109499284342,213.0,0.0,7800.323537068261
50,150,1,1.0,1.5,167.0,40.7185628742515,-24.274556958493665,0.7829683329513383,-14.535662849397372,-2.578458961124512,-2.629448466146361,35.44440728434899,167.0,0.0,7572.544304150633
100,200,1,1.0,1.5,162.0,40.74074074074074,-23.412803027365637,0.7832739672939059,-14.452347547756517,-2.589670004695477,-2.559366416276397,33.30934256117789,162.0,0.0,7658.7196972634365
20,150,1,1.0,1.5,197.0,41.11675126903553,-25.84608633128367,0.7984360365463833,-13.11984077730142,-2.6250706196949674,-2.72082578133374,37.011550168796745,197.0,0.0,7415.391366871633
100,150,1,0.6,3.0,216.0,27.314814814814813,-23.7584914522042,0.7984927787767595,-10.999301598242706,-2.6472625166382358,-2.6390973648865916,34.96310132549315,216.0,0.0,7624.15085477958
50,150,3,0.6,3.0,190.0,26.842105263157894,-22.83033497428759,0.7791378875225974,-12.01596577594086,-2.674326605862434,-2.6373173291690613,31.582759961244577,190.0,0.0,7716.966502571241
20,200,1,1.0,1.5,193.0,40.932642487046635,-26.03819605296469,0.7937666171255803,-13.491293291691512,-2.7284805241873973,-2.7930074016227247,37.913566234115386,193.0,0.0,7396.180394703531
50,200,3,0.6,3.0,195.0,26.666666666666668,-23.986912441595642,0.7736291069076514,-12.300980739279751,-2.8465001352222883,-2.76664105755163,33.16418338893946,195.0,0.0,7601.308755840436
50,200,1,1.0,1.5,167.0,39.52095808383233,-27.96169159555041,0.7501451185643365,-16.743527901527212,-3.122675976352727,-3.144860118895719,39.34423293664935,167.0,0.0,7203.830840444959
20,200,5,0.6,3.0,220.0,26.36363636363636,-27.802491744249135,0.7656593912033187,-12.637496247385972,-3.2393826954350944,-3.2669825121908755,37.82939310021119,220.0,0.0,7219.750825575086
